"year","STATION_NAME","PRCP","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","del_TT_Deg_Celsius","DMI","Nino34","u_wind_200","u_wind_600","u_wind_850","v_wind_200","v_wind_600","v_wind_850","X20E","X70E","X80E","X100E","X120E","X140E","X160E","X120W","X40W","X10W","NAO","EA","WP","EPNP","PNA","EAWR","SCA","TNH","POL","SolarFlux","TempAnomaly"
1978,"BHUBANESWAR IN",5,20.25,85.833,46,330,250,-20.87749128,13,-0.36,-13.209991515,2.2550081415,4.4450080925,-0.0749918075,-0.299991801,-0.6449917935,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"POONA IN",15,18.533,73.85,559,285,220,-21.45999126,13,-0.29,-16.99499143,3.280008119,11.020007945,-0.579991795,-1.2849917795,-1.389991777,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"JABALPUR IN",30,23.2,79.95,393,310,230,-20.39499129,21,-0.29,-11.31999156,-0.519991796,3.860008106,-0.949991787,-1.839991767,-3.719991725,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"GAUHATI IN",20,26.1,91.583,54,330,250,-20.55999128,13,-0.29,-3.539991729,-1.369991777,0.730008176,-1.769991769,2.030008147,4.030008102,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"MADRAS MINAMBAKKAM IN",0,13,80.183,16,350,260,-22.87499123,21,-0.29,-18.67999139,5.805008062,9.810007973,-1.2449917805,-0.5449917955,-2.644991749,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"BANGALORE IN",3,12.967,77.583,921,270,190,-22.85499123,13,-0.29,-18.1199914,5.00000808,10.93000795,-1.489991775,-0.869991789,-4.069991717,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"MANGALORE BAJPE IN",221,12.917,74.883,102,290,220,-22.77999124,21,-0.29,-18.84999139,5.580008067,12.78000791,-2.119991761,-0.81999179,-3.569991728,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"BELGAUM SAMBRA IN",20,15.85,74.617,747,255,210,-22.23749125,13,-0.36,-18.3449914,4.2200080975,11.455007935,-1.129991783,-1.529991774,-2.719991747,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"INDORE IN",7.5,22.717,75.8,567,295,220,-20.0649913,13,-0.43,-12.85499152,-0.3649918,6.130008055,-0.8949917885,-0.309991801,-2.219991758,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"BALASORE IN",5,21.517,86.933,20,320,250,-20.57499128,13,-0.43,-10.54999157,-1.619991772,1.230008164,-0.989991786,0.96000817,2.030008147,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
